Date,Day,Month,Year,Season,Type,Country,Iso_alpha_3,State,Location,Latitude,Longitude,Latitude error,Longitude error,Activity,Activity Long,Gender,Injury,Fatal,Species
16.Dec.29,16,12,1929,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,Collaroy,-33.7382194,151.2996618,,,Bathing,Bathing or body surfing ,F,Superficial lacerations on right leg,N,"Unknown, length given"
01.Sept.29,1,9,1929,Spring,Unprovoked,AUSTRALIA,AUS,Queensland,"Ross River, Townsville",-19.3090595,146.7688108,,,Fell,Fell from wharf into water & attacked immediately,M,"FATAL, severe injuries to both legs ",Y,Unknown
03.Dec.29,3,12,1929,Summer,Unprovoked,AUSTRALIA,AUS,Queensland,Townsville,-19.2569391,146.8239537,,,Unknown,,M,FATAL,Y,Unknown
26.Apr.29,26,4,1929,Autumn,Unprovoked,AUSTRALIA,AUS,Queensland,Great Barrier Reef,-16.35,145.9,,,Diving,Diving for trepang,M,Thigh bitten,N,Unknown
17.Apr.29,17,4,1929,Autumn,Unprovoked,AUSTRALIA,AUS,Queensland,Great Barrier Reef,-16.35,145.9,,,Diving,Diving for trochus,M,Lacerations to right wrist,N,Unknown
21.Dec.29,21,12,1929,Summer,Unprovoked,AUSTRALIA,AUS,Torres Strait,Thursday Island,-10.57864585,142.2189206,,,Diving,Diving,M,Recovered at Thursday Island Hospital,N,Unknown
13.Dec.29,13,12,1929,Summer,Unprovoked,AUSTRALIA,AUS,Torres Strait,Thursday Island,-10.57864585,142.2189206,,,Diving,Pearl diving,M,Injuries to chest & arm,N,Unknown
09.Apr.29,9,4,1929,Autumn,Unprovoked,AUSTRALIA,AUS,Torres Strait,Badu Island,-10.12096135,142.1407291,,,Unknown,,M,FATAL,Y,Unknown
04.Apr.29,4,4,1929,Autumn,Unprovoked,AUSTRALIA,AUS,Torres Strait,Badu Island,-10.12096135,142.1407291,,,Swimming,Swimming between boats,M,FATAL,Y,Unknown
26.Dec.29,26,12,1929,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,"White Bay, near Bald Rock Jetty, Sydney Harbor ",-33.864141,151.1831364,,,Diving,Diving by wharf,M,"FATAL, left arm severed above elbow, lacerations on chest, right thumb severed, left thigh lacerated to bone, abrasions  ",Y,Tiger shark
27.Jan.29,27,1,1929,Summer,Unprovoked,AUSTRALIA,AUS,Queensland,"Alma Bay, Magnetic Island, Townsville",-19.1483126,146.8690026,,,Swimming,Swimming,M,"FATAL, right buttock lacerated, left arm severed above elbow,  right forearm severed by shark, both arms surgically amputated",Y,Unknown
11.Apr.29,11,4,1929,Autumn,Provoked,AUSTRALIA,AUS,Queensland,"Bribie Passage, Caloundra",-27.07600965,153.1694942,,,Standing,Standing in knee-deep water,M,Right calf severely bitten by shark caught in the net PROVOKED INCIDENT,N,Grey nurse shark
20.Oct.29,20,10,1929,Spring,Unprovoked,AUSTRALIA,AUS,Torres Strait,Near Badu Island,None,None,,,Diving,Pearl diving,M,Heel injured,N,Unknown
12.Mar.29,12,3,1929,Autumn,Unprovoked,AUSTRALIA,AUS,Torres Strait,Near Dauan Island,None,None,,,Bathing,Bathing,M,FATAL,Y,Unknown
02.Dec.30,2,12,1930,Summer,Watercraft,AUSTRALIA,AUS,Victoria,Rosebud,-38.371032,144.909512,,,Fishing,Fishing,Unknown,No injury to occupants; shark seized gunwale & tried to overturn boat,N,"Unknown, length given"
31.Aug.30,31,8,1930,Winter,Unprovoked,AUSTRALIA,AUS,Western Australia,Geraldton,-28.77035,114.6147159,,,Fishing,Fishing,M,Minor injury,N,Unknown
30.Nov.30,30,11,1930,Spring,Unprovoked,AUSTRALIA,AUS,Queensland,"St. Helena Island, Moreton Bay",-27.38742905,153.2352829,,,Fishing,Thrown into water from fishing dinghy,M,Laceration to leg,N,Unknown
03.Feb.30,3,2,1930,Summer,Provoked,AUSTRALIA,AUS,Western Australia,Onslow,-21.638247,115.113444,,,Removing shark from a trap,Removing shark from a trap,M,Laceration to thigh from trapped shark PROVOKED INCIDENT,N,Unknown
25.Dec.30,25,12,1930,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,"Homebush Bay, Parramatta River, Sydney",-33.8306908,151.0805789,,,Swimming,Swimming,M,"Bumped by shark, legs abraded",N,Unknown
01.Dec.30,1,12,1930,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,Parramata River,None,None,,,Unknown,,M,FATAL,Y,Unknown
13.Dec.30,13,12,1930,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,"Sailor Bay, Middle Harbour, Sydney",-33.8037503,151.2267911,,,Fell,Fell overboard,M,FATAL,Y,Unknown
04.Jun.30,4,6,1930,Winter,Unprovoked,AUSTRALIA,AUS,Torres Strait,Near Mabuiag Island,None,None,,,Unknown,,M,FATAL,Y,Unknown
15.Feb.30,15,2,1930,Summer,Unprovoked,AUSTRALIA,AUS,Victoria,"Middle Brighton, Port Phillip",-37.9149063,144.9965413,,,Diving,Diving off pier & treading water,M,FATAL,Y,White shark
06.Mar.31,6,3,1931,Autumn,Provoked,AUSTRALIA,AUS,South Australia,Encounter Bay,-35.57341,138.75155,,,Fishing,"Fishing, hauling in net, shark in net",M,"Finger lacerated, PROVOKED INCIDENT",N,Cocktail shark
10.Feb.31,10,2,1931,Summer,Invalid,AUSTRALIA,AUS,New South Wales,Maroubra Beach,-33.9496372,151.2567007,,,Swimming,Swimming ,M,Death may have been due to drowning,Unknown,Invalid
02.May.31,2,5,1931,Autumn,Watercraft,AUSTRALIA,AUS,New South Wales,Kempsey,-31.0798092,152.842289,,,Unknown,,Unknown,No injury to occupants; oar & rudder bitten,N,"Unknown, length given"
22.Mar.31,22,3,1931,Autumn,Unprovoked,AUSTRALIA,AUS,Queensland,"Ross River, Townsville",-19.3090595,146.7688108,,,Fishing,Fishing with a cast net,M,"FATAL, left thigh severely bitten ",Y,Unknown
01.Aug.31,1,8,1931,Winter,Unprovoked,AUSTRALIA,AUS,Queensland,Port Douglas,-16.4845983,145.4636294,,,Fell,Fell overboard?,M,FATAL,Y,Unknown
07.Jan.31,7,1,1931,Summer,Unprovoked,AUSTRALIA,AUS,Queensland,"Yeppoon, near Ross Creek",-23.1348035,150.7436625,,,Swimming,Swimming,M,Severe bump & few superficial wounds ,N,"Unknown, length given"
26.Nov.31,26,11,1931,Spring,Unprovoked,AUSTRALIA,AUS,Torres Strait,Barrier Reef near Innisfail,None,None,,,Diving,Diving for trochus from lugger,M,Left foot acerated,N,"Unknown, length given"
24.Jan.31,24,1,1931,Summer,Unprovoked,AUSTRALIA,AUS,Torres Strait,Near Thursday Island,None,None,,,Unknown,,M,Recovered,N,Unknown
11.Jan.32,11,1,1932,Summer,Watercraft,AUSTRALIA,AUS,Victoria,Frankston,-38.1444729,145.1268808,,,Fishing,Fishing,Unknown,No details,Unknown,Grey nurse shark
30.Aug.32,30,8,1932,Winter,Provoked,AUSTRALIA,AUS,New South Wales,Bondi,-33.8930556,151.2633333,,,Unknown,,M,Hand bitten by landed shark PROVOKED INCIDENT,N,Unknown
31.Oct.32,31,10,1932,Spring,Unprovoked,AUSTRALIA,AUS,New South Wales,"Redhead Beach, Newcastle",-33.0147213,151.7059403,,,Swimming,Swimming,M,"Torso bitten with pneumothorax, slight lacerations on left hand",N,Grey nurse shark
30.Aug.32,30,8,1932,Winter,Provoked,AUSTRALIA,AUS,New South Wales,Newcastle,-32.92667,151.780014,,,Unknown,,M,Bitten by landed shark PROVOKED INCIDENT,N,Unknown
27.Jan.32,27,1,1932,Summer,Unprovoked,AUSTRALIA,AUS,Queensland,Ipswich,-27.616032,152.760835,,,Swimming,Swimming,M,Thigh bitten,N,"Unknown, length given"
13.Feb.32,13,2,1932,Summer,Unprovoked,AUSTRALIA,AUS,Queensland,Calliope River,-24.0176542,150.9712116,,,Fishing,Fishing with dynamite,M,Foot bitten,N,Unknown
11.Dec.32,11,12,1932,Summer,Unprovoked,AUSTRALIA,AUS,Northern Territory,Arnhem Land,-12.7308333,134.5927778,,,Unknown,,M,Leg bitten,N,Unknown
01.May.32,1,5,1932,Autumn,Unprovoked,AUSTRALIA,AUS,Torres Strait,Thursday Island,-10.57864585,142.2189206,,,Diving,Pearl diving,M,Severe injury to forearm near elbow,N,Unknown
12.May.32,12,5,1932,Autumn,Unprovoked,AUSTRALIA,AUS,Torres Strait,Near Warrior Reefs,-27.0451696,153.1415311,,,Diving,Pearl diving,M,FATAL,Y,Unknown
14.Feb.33,14,2,1933,Summer,Watercraft,AUSTRALIA,AUS,South Australia,Adelaide,-34.9281805,138.5999312,,,Unknown,,Unknown,No injury to occupants. Shark leapt into boat during sailing races,N,Unknown
12.Feb.33,12,2,1933,Summer,Provoked,AUSTRALIA,AUS,South Australia,"Port River, Adelaide",-34.8523927,138.4984324,,,Fishing,Fishing,M,Forearm injured by hooked shark PROVOKED INCIDENT,N,Blue shark
26.Feb.33,26,2,1933,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,Sydney,-33.8698439,151.2082848,,,Standing,Standing on his hands,M,Abrasions to legs,N,"Unknown, length given"
08.Jun.33,8,6,1933,Winter,Unprovoked,AUSTRALIA,AUS,Queensland,Currumbin,-28.1369655,153.4799277,,,Treading water,Treading water,M,Lacerations to legs from fins of shark,N,Unknown
03.Jul.33,3,7,1933,Winter,Unprovoked,AUSTRALIA,AUS,Western Australia,Broome,-17.956691,122.224018,,,Diving,Pearl diving,M,"No injury, shark tore diving suit",N,Unknown
13.Jun.33,13,6,1933,Winter,Invalid,AUSTRALIA,AUS,Northern Territory,Darwin,-12.46044,130.8410469,,,Fishing,Fishing,M,"No injury, ""shark chased him ashore""",Unknown,Invalid
18.Nov.33,18,11,1933,Spring,Unprovoked,AUSTRALIA,AUS,Queensland,Near Barrow Point,-27.882164,153.392621,,,Diving,Pearl diving,M,"Hand badly injured, right arm surgically amputated above wrist",N,Tiger shark
25.Oct.33,25,10,1933,Spring,Unprovoked,AUSTRALIA,AUS,Queensland,Off Bloomfield River,None,None,,,Diving,Diving,M,Hand severed,N,Unknown
04.Jan.33,4,1,1933,Summer,Unprovoked,AUSTRALIA,AUS,Queensland,"Strand Beach, Kissing Point, Townsville",-33.75562863,151.2961455,,,Swimming,Swimming,M,Severe abdominal wounds FATAL (Note: 14 days earlier a dog was bitten in two by a large shark),Y,Unknown
23.May.33,23,5,1933,Autumn,Provoked,AUSTRALIA,AUS,Queensland,Off Stradbroke Island,None,None,,,Fishing,Fishing,M,Laceration to lower leg by netted shark PROVOKED INCIDENT,N,"Unknown, length given"
15.Feb.33,15,2,1933,Summer,Unprovoked,AUSTRALIA,AUS,Torres Strait,"Barrow Point, 100 miles north of Cooktown, Queensland",None,None,,,Diving,Diving for trochus  from dinghy when seized by shark 6' below the surface,M,"Injuries to arm, shoulder & chest, took 2 days to reach hospital",N,"Unknown, length given"
20.Nov.33,20,11,1933,Spring,Unprovoked,AUSTRALIA,AUS,Torres Strait,Near Boydong Cay,-32.02409717,115.8925891,,,Diving,Free diving for trochus ,M,"FATAL, right buttock & thigh bitten ",Y,Tiger shark
11.Jul.34,11,7,1934,Winter,Watercraft,AUSTRALIA,AUS,New South Wales,Cronulla,-34.0575259,151.1523851,,,Fishing,Fishing,Unknown,"No injury to occupants Sharks continually followed the dinghy, and one smashed its rudder ",N,Mako shark
01.Mar.34,1,3,1934,Autumn,Provoked,AUSTRALIA,AUS,New South Wales,Cronulla,-34.0575259,151.1523851,,,Fishing,Fishing ,Unknown,"No injury to occupants, hooked shark, snapped at rudder & then attacked boat PROVOKED INCIDENT",N,Mako shark
31.Dec.34,31,12,1934,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales," St. George’s River at Moorebank, near Milperra Bridge",-33.9292453,150.9790168,,,Swimming,Swimming (lead swimmer in race),M,"FATAL, left leg bitten ",Y,Unknown
01.Apr.34,1,4,1934,Autumn,Unprovoked,AUSTRALIA,AUS,New South Wales,North Steyne,-33.7866943,151.2877915,,,Swimming,Swimming in waist-deep water ,M,"FATAL, right leg lacerated",Y,"Unknown, length given"
07.Jan.34,7,1,1934,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,Queenscliff,-33.7823916,151.2854011,,,Swimming,Swimming on sandbar adjacent to channel,M,Severely lacerated  right leg.  Later surgically amputated & survived despite gas gangrene,N,"Unknown, length given"
22.Oct.34,22,10,1934,Spring,Unprovoked,AUSTRALIA,AUS,Torres Strait,Warrior Reefs,-9.833333,142.5,,,Diving,Freediving for trochus shell (submerged),M,"FATAL, forearm lacerated & surgically amputated, but died of gas gangrene 13 days afterwards ",Y,Unknown
21.Jun.34,21,6,1934,Winter,Provoked,AUSTRALIA,AUS,New South Wales,Off Mooloolabah,None,None,,,Fishing,Fishing,M,Hand bitten while landing shark PROVOKED INCIDENT,N,Mako shark
12.Mar.34,12,3,1934,Autumn,Unprovoked,AUSTRALIA,AUS,New South Wales,"Dee Why, north of Queenscliff ",-33.7526555,151.2875707,,,Swimming,Swimming in hip-deep water,M,"FATAL, leg & buttocks removed ",Y,"Unknown, length given"
31.Dec.34,31,12,1934,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,George’s River at Kentucky,-34.0392423,150.8946067,,,Splashing,Splashing,F,Hands severed,N,Tiger shark
27.Jan.34,27,1,1934,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,"Lambeth Street Wharf, George’s River, East Hills (20 miles from river mouth)",-33.8495932,151.2108613,,,Swimming,Swimming outside the safety enclosure attempting to retrieve a tennis ball drifting toward midstream ,M,"Bumped, chest bitten & badly injured",N,Unknown
23.Dec.34,23,12,1934,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,Woy Woy  on the Brisbane Waters,None,None,,,Diving,Taken as he dived into the water,M,FATAL,Y,Unknown
23.Oct.34,23,10,1934,Spring,Unprovoked,AUSTRALIA,AUS,New South Wales,Woy Woy on the Brisbane Waters,None,None,,,Swimming,Swimming & splashing,M,Leg injured,N,Unknown
09.Oct.34,9,10,1934,Spring,Unprovoked,AUSTRALIA,AUS,Northern Territory,"Redcliff, Cobourg Peninsula",-27.2268785,153.1129973,,,Bathing,Bathing,F,FATAL,Y,Unknown
15.Apr.34,15,4,1934,Autumn,Unprovoked,AUSTRALIA,AUS,Queensland,"Elephant Rock, Currumbin near Southport",,,-17.5257718,128.3657536,Surfing,Body surfing,M,Leg lacerated & punctured,N,Unknown
26.Aug.34,26,8,1934,Winter,Unprovoked,AUSTRALIA,AUS,Queensland,Off Eva Island 20 miles from Cardwell,None,None,,,Diving,Dived into sea from launch & bitten immediately,M,"FATAL, body was not recovered",Y,Unknown
24.Feb.34,24,2,1934,Summer,Unprovoked,AUSTRALIA,AUS,Torres Strait,Adolphus Channel,None,None,,,Splashing in water ,Splashing in water ,M,"Lacerated knee & foot, deep puncture wounds",N,Tiger shark
23.Dec.35,23,12,1935,Summer,Provoked,AUSTRALIA,AUS,Victoria,150 yards from the pier at Lorne,-38.5411691,143.9748166,,,Cruising,Cruising,Unknown,"Harpooned shark stove in bow (20"" x 10"" hole), boat sank PROVOKED INCIDENT",N,"Unknown, length given"
14.Feb.35,14,2,1935,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,Austinmer,-34.3064627,150.9292162,,,Surfing,Surfing (pneumatic surfboard),M,"Thigh lacerated, abrasions",N,Unknown
09.Mar.35,9,3,1935,Autumn,Unprovoked,AUSTRALIA,AUS,New South Wales,Maroubra Beach,-33.9496372,151.2567007,,,Swimming,Swimming,M,"FATAL, left thigh, buttock, left forearm bitten, finger removed  ",Y,White shark
25.Apr.35,25,4,1935,Autumn,Invalid,AUSTRALIA,AUS,New South Wales,Coogee,-33.9217004,151.2557975,,,"Disappeared 11 days earlier, probable homicide victim","Disappeared 11 days earlier, probable homicide victim",M,Captive tiger shark regurgitated his arm in the Coogee Aquarium,Unknown,Invalid
02.Mar.35,2,3,1935,Autumn,Unprovoked,AUSTRALIA,AUS,New South Wales,North Narrabeen Beach,-33.70743385,151.3044765,,,Standing,Standing,M,"FATAL, thigh bitten ",Y,White shark
11.Mar.35,11,3,1935,Autumn,Unprovoked,AUSTRALIA,AUS,New South Wales,Newcastle,-32.92667,151.780014,,,Surfing,Surfing,M,Abrasions to shins,N,Unknown
24.Jan.35,24,1,1935,Summer,Watercraft,AUSTRALIA,AUS,Queensland,"Ross River, Townsville",-19.3090595,146.7688108,,,Fishing,Fishing for sharks,Unknown,No injury to occupants,N,"Unknown, length given"
24.Jan.35,24,1,1935,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,"Off Ben Buckler, near Sydney",-33.891517,151.2841942,,,Fishing,Fishing,M,"No injury, sleeve ripped",N,Tiger shark
26.Aug.35,26,8,1935,Winter,Unprovoked,AUSTRALIA,AUS,Queensland,"At Flat Top, near Mackay",-43.6392063,146.3828817,,,Fell,"Fell overboard, hanging onto lifebuoy",M,"FATAL. His body was not recovered, but about 3 weeks later 2 sharks were caught with human remains, thought to be those of Quinn",Y,"Unknown, length given"
30.Mar.35,30,3,1935,Autumn,Unprovoked,AUSTRALIA,AUS,Queensland,Barrier Reef off Mackay,None,None,,,Diving,Diving from dinghy for trochus shell,M,Buttocks injured by fin or a bump ,N,Unknown
17.Jan.35,17,1,1935,Summer,Invalid,AUSTRALIA,AUS,Queensland,"Seaforth River, near MacKay",-21.141956,149.1865149,,,Unknown,,M,No injury; onlookers saw 10' shark heading for him and lifted him ashore,Unknown,Invalid
13.Mar.35,13,3,1935,Autumn,Provoked,AUSTRALIA,AUS,Queensland,Pimpana River,None,None,,,Hauling in net with shark in it,Hauling in net with shark in it,M,Calf & shin bitten  PROVOKED INCIDENT,N,Mako shark
01.Jun.35,1,6,1935,Winter,Watercraft,AUSTRALIA,AUS,South Australia,Off Port Broughton,None,None,,,Unknown,,Unknown,Shark bumped dinghy twice,N,Unknown
13.Nov.35,13,11,1935,Spring,Unprovoked,AUSTRALIA,AUS,Torres Strait,Barrier Reef near Innisfail,None,None,,,Diving,Diving?,M,Back & arm gashed but survived,N,Unknown
13.Aug.35,13,8,1935,Winter,Unprovoked,AUSTRALIA,AUS,Torres Strait,"Near Warrior Reefs, Queensland",-27.0451696,153.1415311,,,Diving,Diving for beche-de-mer from lugger,M,"FATAL, right buttock & thigh bitten ",Y,Unknown
12.May.35,12,5,1935,Autumn,Unprovoked,AUSTRALIA,AUS,Torres Strait,On edge of reef near Warrior Island,None,None,,,Diving,Pearl diving,M,3 gashes on hand & wrist,N,"Unknown, length given"
20.Mar.35,20,3,1935,Autumn,Unprovoked,AUSTRALIA,AUS,Torres Strait,Three Mile Reef off Lizard Island 50 miles north of Cooktown,None,None,,,Diving,"Pearl diving, but standing in the water",M,Left thigh abraded & 3 fingers lacerated,N,Tiger shark
01.Dec.36,1,12,1936,Summer,Watercraft,AUSTRALIA,AUS,Victoria,Mordialloc,-38.0067174,145.0875658,,,Fishing,Fishing,M,"FATAL, his 2.4 m dinghy was found with 2' x 3' hole in its side & tooth fragments embedded in the planking",Y,White shark
19.Apr.05,19,4,1936,Autumn,Unprovoked,AUSTRALIA,AUS,Victoria,"Port Phillip Bay, Port Melbourne",-37.83563655,144.9445561,,,Swimming,Swimming ,M,FATAL ,Y,Unknown
01.Jan.36,1,1,1936,Summer,Provoked,AUSTRALIA,AUS,New South Wales,North Bondi,-33.882351,151.2768611,,,Paddling,Paddleskiing,M,"He tried to hit shark with paddle, shark bumped  ski  PROVOKED INCIDENT",N,"Unknown, length given"
04.Feb.36,4,2,1936,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,"South Steyne, Manly",-33.7997554,151.2900784,,,Swimming,Swimming,M,"FATAL, taken by shark, body not recovered. Twenty months later, in October 1937, meshing (setting anti-shark gill nets) began  at metropolitan beaches",Y,White shark
15.Dec.36,15,12,1936,Summer,Provoked,AUSTRALIA,AUS,New South Wales,Newcastle Harbor,-32.92667,151.780014,,,Fishing,Fishing,Unknown,Hooked shark bit rudder PROVOKED INCIDENT,N,Unknown
12.Dec.36,12,12,1936,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,"Throsby Creek, Newcastle",-32.9147339,151.7599966,,,Swimming,Swimming,M,"FATAL, leg severed at knee",Y,Unknown
05.Jan.36,5,1,1936,Summer,Invalid,AUSTRALIA,AUS,Queensland,"Main Beach, Southport",-27.97267875,153.4257436,,,Surfing,Surfing,M,Disappeared & his torn clothing washed ashore,Unknown,Invalid
19.Dec.36,19,12,1936,Summer,Watercraft,AUSTRALIA,AUS,Queensland,Brisbane River,-27.5329355,152.9576543,,,Sculling,Sculling,Unknown,"No injury to occupant. Shark damaged scull, tooth fragments recovered",N,"Unknown, length given"
20.Feb.36,20,2,1936,Summer,Unprovoked,AUSTRALIA,AUS,Queensland,Brisbane River,-27.5329355,152.9576543,,,Sculling,Sculling,M,"No injury, scull sank",N,"Unknown, length given"
04.Aug.36,4,8,1936,Winter,Unprovoked,AUSTRALIA,AUS,Torres Strait,Bathurst Island,-11.61699,130.27742,,,Diving,Pearl diving,M,Torso bitten ,N,Unknown
26.Jun.36,26,6,1936,Winter,Unprovoked,AUSTRALIA,AUS,Torres Strait,Nepean Island,-9.56798335,143.6563977,,,Diving,"Diving for trochus , but swimming on surface",M,FATAL,Y,Tiger shark
23.Feb.36,23,2,1936,Summer,Provoked,AUSTRALIA,AUS,New South Wales,"Angourie, near Yamba",-29.478884,153.3600421,,,Touching the mouth of a supposedly dead shark,Touching the mouth of a supposedly dead shark,F,Finger bitten PROVOKED INCIDENT,N,Unknown
04.Mar.36,4,3,1936,Autumn,Watercraft,AUSTRALIA,AUS,Northern Territory,Between Cape Hotham & Darwin (50 miles from Darwin),None,None,,,Rowing,Rowing ,Unknown,"No injury to occupants, shark almost wrenched oar from aborigine",N,Unknown
22.Apr.36,22,4,1936,Autumn,Unprovoked,AUSTRALIA,AUS,Queensland,Arlington Reef near Cairns,None,None,,,Diving,Diving for trochus,M,"Arm & back bitten, heel lacerated",N,Tiger shark
08.Apr.36,8,4,1936,Autumn,Unprovoked,AUSTRALIA,AUS,Queensland,Arlington Reef near Cairns,None,None,,,Diving,Diving,M,Arm severed,N,Unknown
19.Mar.36,19,3,1936,Autumn,Unprovoked,AUSTRALIA,AUS,Queensland,"Near Forbes Island, Barrier Reef",-12.28776,143.4112214,,,Diving,Diving for trochus,M,Right forearm lacerated,N,Unknown
22.Jan.36,22,1,1936,Summer,Unprovoked,AUSTRALIA,AUS,South Australia,"West Beach, near Adelaide",-34.9451586,138.5091364,,,Swimming,"Swimming. Passer-by, Len Bedford, heard him shriek , saw shark leap from the water & swimmer disappeared",M,FATAL ,Y,White shark
24.Aug.36,24,8,1936,Winter,Unprovoked,AUSTRALIA,AUS,Torres Strait,Near Mabuiag Island,None,None,,,Diving,"Trochus diving, but floating on surface",M,Flexed right leg bitten,N,Tiger shark
12.Mar.36,12,3,1936,Autumn,Unprovoked,AUSTRALIA,AUS,Torres Strait,"Near Shelburne Bay, Queenland",None,None,,,Rowing,Among 31 survivors of crew from the sampan Fukulya Maru (which reached Thursday Island in rowing boat) was a man whose arm had been bitten off by shark. The sampan wrecked west of McArthur island ,M,Survived,N,Unknown
07.Jul.36,7,7,1936,Winter,Unprovoked,AUSTRALIA,AUS,Torres Strait,Off Nepean Island,None,None,,,Diving,Diving,M,Survived? Admitted to Thursday Island Hospital,N,Unknown
27.Nov.36,27,11,1936,Spring,Provoked,AUSTRALIA,AUS,Torres Strait,Near Thursday Island,None,None,,,Fishing,Spearfishing ,M,Speared shark bit his hand PROVOKED INCIDENT,N,"Unknown, length given"
11.Nov.37,11,11,1937,Spring,Unprovoked,AUSTRALIA,AUS,Torres Strait,Ota Reef,,,-45.003219,170.119293,Diving,Diving for trochus,M,FATAL,Y,"Unknown, length given"
09.Mar.37,9,3,1937,Autumn,Invalid,AUSTRALIA,AUS,Victoria,Port Melbourne,-37.8333613,144.9219203,,,Swimming,Swimming,M,Shark involvement prior to death was not confirmed,Unknown,Invalid
26.Mar.37,26,3,1937,Autumn,Invalid,AUSTRALIA,AUS,New South Wales,South Cronulla,-34.0575259,151.1523851,,,Bathing,Bathing,M,His body was recovered 2 days later but shark involvement prior to death was not confirmed,Unknown,Invalid
04.Feb.37,4,2,1937,Summer,Watercraft,AUSTRALIA,AUS,New South Wales, Botany Bay ,-33.9815082,151.1796169,,,Fishing,Fishing,Unknown,"No injury to occupants, launch holed",N,Unknown
20.Apr.05,20,4,1937,Autumn,Invalid,AUSTRALIA,AUS,South Australia,Port Germein,-33.0205285,137.9993185,,,12 of the Penang's crew were returning to the ship when their 12' dinghy capsized,12 of the Penang's crew were returning to the ship when their 12' dinghy capsized,M,"15' shark seen with the man's body in its mouth, but shark involvement prior to death was not confirmed",Unknown,Invalid
13.Feb.37,13,2,1937,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,"Bar Beach, Newcastle",-32.938888,151.7683089,,,Swimming,Swimming,M,"FATAL, buttocks, ankle & right elbow bitten ",Y,White shark
11.Feb.37,11,2,1937,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,Kempsey,-31.0798092,152.842289,,,Swimming,Swimming ashore after launch capsized,M,Foot bitten,N,Unknown
24.Oct.37,24,10,1937,Spring,Unprovoked,AUSTRALIA,AUS,New South Wales,Byron Bay ,-28.6483333,153.6177778,,,Swimming,Swimming near jetty,M,Tooth imprints on torso,N,"Unknown, length given"
24.Oct.37,24,10,1937,Spring,Unprovoked,AUSTRALIA,AUS,New South Wales,Byron Bay ,-28.6483333,153.6177778,,,Surfing,Surf skiing,M,"No injury, repulsed shark",N,"Unknown, length given"
27.Oct.37,27,10,1937,Spring,Unprovoked,AUSTRALIA,AUS,Queensland,"Kirra Beach, Coolangatta",-28.16619365,153.5309105,,,Swimming,Swimming ,M,FATAL,Y,Tiger shark
27.Oct.37,27,10,1937,Spring,Unprovoked,AUSTRALIA,AUS,Queensland,"Kirra Beach, Coolangatta",-28.16619365,153.5309105,,,Swimming,Swimming ,M,FATAL,Y,Tiger shark
03.Feb.37,3,2,1937,Summer,Provoked,AUSTRALIA,AUS,Queensland,Moreton Island,-27.19264975,153.394318,,,Fishing,Fishing,M,Left shoulder bitten by netted shark PROVOKED INCIDENT,N,Mako shark
15.May.37,15,5,1937,Autumn,Unprovoked,AUSTRALIA,AUS,Queensland,"Ross River, Townsville",-19.3090595,146.7688108,,,Swimming,"Refused permission to cross on the ferry, he was swimming across the river",M,"FATAL, left arm severed at elbow, right arm bitten, right leg severed at knee    ",Y,"Unknown, length given"
16.Jul.37,16,7,1937,Winter,Unprovoked,AUSTRALIA,AUS,Northern Territory,Elcho Island,-11.9136184,135.802244,,,Diving,Pearl diving,M,FATAL,Y,Unknown
27.Jan.37,27,1,1937,Summer,Provoked,AUSTRALIA,AUS,New South Wales,"Lake Conjola, near Milton",-35.2698003,150.4891222,,,Holding shark's tail ,Holding shark's tail ,M,Bitten on forearm PROVOKED INCIDENT,N,Grey nurse shark
15.Jun.37,15,6,1937,Winter,Provoked,AUSTRALIA,AUS,New South Wales,"Wallamba River, near entrance to Wallis Lake",-32.11511173,152.3310536,,,Fishing,"Fishing from launch, fell into net with shark",M,Bitten by netted shark PROVOKED INCIDENT,N,Bronze whaler
31.Aug.37,31,8,1937,Winter,Unprovoked,AUSTRALIA,AUS,Torres Strait,"Mabuiag Island, between New Guinea & Australia",-9.9578424,142.1795604,,,Diving,"Diving from the lugger San, operated by the Protector of the Aborigines",M,"Head, neck & shoulder bitten (In 1918, he was also bitten by a shark off Cairns)",N,Tiger shark
02.Jan.38,2,1,1938,Summer,Unprovoked,AUSTRALIA,AUS,New South Wales,Cronulla,-34.0575259,151.1523851,,,Surfing,Surf skiing,M,"No injury, ski bumped & he was thrown in the water. Ski had indentations",N,Unknown
